City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,7.62,91,100,18.03,TF,1683824655
1,cabo san lucas,22.8909,-109.9124,30.9,43,3,5.14,MX,1683824394
2,vadso,70.0744,29.7487,10.49,76,0,1.54,NO,1683824459
3,nemuro,43.3236,145.575,3.17,81,18,5.51,JP,1683824656
4,yellowknife,62.456,-114.3525,15.31,36,40,5.66,CA,1683824656
5,happy valley-goose bay,53.3168,-60.3315,10.17,23,20,4.63,CA,1683824656
6,tiksi,71.6872,128.8694,-11.88,81,88,10.61,RU,1683824384
7,keflavik,64.0049,-22.5624,9.95,93,100,9.26,IS,1683824657
8,police,53.5521,14.5718,21.22,58,44,4.36,PL,1683824658
9,adamstown,-25.066,-130.1015,21.52,53,93,8.8,PN,1683824663
10,sitka,57.0531,-135.33,8.08,87,100,2.91,US,1683824403
11,ushuaia,-54.8,-68.3,6.81,81,75,1.03,AR,1683824664
12,puerto natales,-51.7236,-72.4875,10.25,71,75,1.03,CL,1683824606
13,whitehorse,60.7161,-135.0538,11.72,50,40,6.71,CA,1683824666
14,bardai,11.65,7.2333,35.04,23,98,3.44,NG,1683824666
15,chernyshevskiy,63.0128,112.4714,-4.98,88,20,2.54,RU,1683824554
16,queenstown,-31.8976,26.8753,14.46,53,54,1.72,ZA,1683824667
17,aldan,58.6031,125.3894,-2.52,98,100,3.87,RU,1683824667
18,enewetak,11.3474,162.3373,27.55,83,100,6.77,MH,1683824480
19,bikenibeu village,1.3673,173.1241,27.98,83,40,3.09,KI,1683824668
20,tamiahua,21.2667,-97.45,31.87,62,20,3.73,MX,1683824668
21,bredasdorp,-34.5322,20.0403,13.48,67,100,4.6,ZA,1683824669
22,kingston,17.997,-76.7936,33.47,61,20,4.02,JM,1683824443
23,arraial do cabo,-22.9661,-42.0278,23.92,73,75,2.57,BR,1683824561
24,blackmans bay,-43.0167,147.3167,7.07,87,100,2.99,AU,1683824670
25,mount gambier,-37.8333,140.7667,11.68,92,100,2.1,AU,1683824670
26,cockburn town,21.4612,-71.1419,26.91,75,78,4.79,TC,1683824670
27,ponto novo,-10.8628,-40.1336,32.09,41,61,2.7,BR,1683824671
28,grytviken,-54.2811,-36.5092,-2.74,77,31,4.78,GS,1683824383
29,dryden,49.7833,-92.7503,19.16,63,0,3.6,CA,1683824671
30,paracuru,-3.41,-39.0306,28.95,67,89,4.11,BR,1683824671
31,tabou,4.423,-7.3528,29.66,70,36,2.98,CI,1683824446
32,rancho palos verdes,33.7445,-118.387,18.64,75,75,2.57,US,1683824614
33,san patricio,28.017,-97.5169,30.09,67,65,7.03,US,1683824673
34,tazacorte,28.629,-17.9293,23.97,76,40,8.23,ES,1683824673
35,crane,31.3974,-102.3501,26.01,11,0,6.44,US,1683824542
36,ketchikan,55.3422,-131.6461,10.99,58,99,2.7,US,1683824491
37,celestun,20.8667,-90.4,33.09,53,27,2.05,MX,1683824674
38,ilulissat,69.2167,-51.1,-1.99,74,75,8.23,GL,1683824674
39,port lincoln,-34.7333,135.8667,14.58,71,84,5.3,AU,1683824386
40,afaahiti,-17.75,-149.2833,24.93,94,100,13.51,PF,1683824474
41,iqaluit,63.7506,-68.5145,-4.15,73,20,6.71,CA,1683824514
42,ribeira grande,38.5167,-28.7,20.22,68,20,4.92,PT,1683824675
43,portland,45.5234,-122.6762,18.36,68,53,0.89,US,1683824389
44,kirkwall,58.9848,-2.9587,10.03,81,75,3.6,GB,1683824675
45,floro,61.5996,5.0328,13.46,93,75,1.54,NO,1683824539
46,punta arenas,-53.15,-70.9167,8.06,76,75,2.06,CL,1683824425
47,lompoc,34.6391,-120.4579,19.36,74,53,7.15,US,1683824463
48,quellon,-43.1167,-73.6167,14.14,94,100,1.03,CL,1683824676
49,phang nga,8.4509,98.5298,26.02,78,12,1.39,TH,1683824677
50,georgetown,5.4112,100.3354,31.97,80,20,2.06,MY,1683824565
51,chonchi,-42.6128,-73.8092,15.07,82,100,1.56,CL,1683824677
52,fort st. john,56.2499,-120.8529,12.94,58,75,2.06,CA,1683824403
53,invercargill,-46.4,168.35,8.34,95,87,1.34,NZ,1683824678
54,minas de marcona,-15.2119,-75.1103,20.09,59,52,4.66,PE,1683824557
55,constantia,44.1833,28.65,11.5,69,62,4.56,RO,1683824423
56,ikongo,-21.8833,47.4333,20.11,99,100,0.49,MG,1683824679
57,fale old settlement,-9.3852,-171.2468,28.55,78,22,6.76,TK,1683824397
58,luderitz,-26.6481,15.1594,17.05,67,100,8.73,NA,1683824679
59,bethel,41.3712,-73.414,26.21,34,2,0.89,US,1683824523
60,wailua homesteads,22.0669,-159.378,22.24,90,72,3.72,US,1683824383
61,katima mulilo,-17.5,24.2667,21.27,29,0,1.85,NA,1683824680
62,ulsteinvik,62.3432,5.8487,12.73,91,99,0.89,NO,1683824681
63,albany,42.6001,-73.9662,24.8,35,7,0.89,US,1683824541
64,nelson bay,-32.7167,152.15,14.44,100,4,3.13,AU,1683824681
65,saudarkrokur,65.7461,-19.6394,13.36,59,96,7.38,IS,1683824681
66,tamanrasset,22.785,5.5228,30.95,10,0,2.06,DZ,1683824585
67,kapa'a,22.0752,-159.319,23.18,87,100,5.14,US,1683824682
68,hermanus,-34.4187,19.2345,12.11,66,100,6.13,ZA,1683824682
69,margaret river,-33.95,115.0667,11.01,74,11,3.23,AU,1683824682
70,lihue,21.9789,-159.3672,22.58,90,85,4.13,US,1683824637
71,anadyr,64.75,177.4833,-2.72,80,0,4.0,RU,1683824683
72,college,64.8569,-147.8028,11.16,57,100,2.06,US,1683824683
73,edinburgh of the seven seas,-37.0676,-12.3116,16.62,75,64,11.24,SH,1683824439
